sha256,modify num,add_edge,rewiring,add_node,delete_node,node num,edge num
00216ADBF965013E945482BD8C95421DAEB45E7DEB9725B4E5B528F2714CDE92,1,0,0,1,0,1032,3128
003D21F55E4FE0A07500F508193FD1CCEFAFD6B5B51B4A72FDDF2CE8BD380119,291,83,94,70,44,1194,4226
007603E1FF7C07E00EE62B0A375D2AF119A98CC54A53FB4034A57F9230CD65B7,71,10,49,10,2,1385,5386
0085A90B92A00377111E89E19A9654495B238A0BDC35FCBD76C0AD981435AF3C,1,0,1,0,0,1160,3444
008B203450A6A9781647D8B9D399A147ADEF4C9ECCE7A5D57911FEA0D184B492,1,0,0,1,0,1057,4926
0090158DB9CBDA2BF84A726BC42CC2FD8281DE2456A8F4CC5726D060B1063D26,1,0,0,0,1,2601,10232
00B319A97E9DAE1BD7FC0CE3A927D1CFB3A103AA65920180634FEF6302D13B5C,3,0,0,0,3,397,1017
0128618B3CE1CA23E0FA13C812487C10B313FB5B1B27C56A74DDA3A088FC731C,1,1,0,0,0,413,1148
019F2F9FB1EF179302C719165E521DC2EDDDD5EE1EB685A7B0A477DF19C096C9,28,0,27,0,1,291,742
01DDA7909D909CE7DFB37E61A1C80670D9775AF921DE9E8B94E46B34C4BA5AAF,1,0,1,0,0,1549,5769
0247309695731C6CEDAE159FF6A12AB445F4818D9D86A76E66D88D154FAF2D1D,1,0,1,0,0,1884,9040
02542C284CA7494A2000DE5EDC0A614ACDD1FCEAB5D71C2DD378F23F3D2E31F4,1,1,0,0,0,926,4539
029967694F3A9F9BCDD143723735C37E687DF92D46EA3F5A40FA680E24668E99,1,0,0,1,0,1652,6007
02C2336D6893FEE5B7F6A23B06E370F55DB35215D9762A0BC5A2B49BCC025C6D,1,1,0,0,0,1757,7792
03044D62861E1ECA5ECEFE7A59E4E75579160C0E0660140681BDB57D31B829A8,1,0,0,1,0,1429,4958
031C407AF54D7F6C538DF7951A42FA46AFA909337153CF94835A17F7B2441170,1,1,0,0,0,1878,5737
03259A1228E3AD616F10C2370B8C142A8D20132505FBC5CDB5137322A8A03FC6,1,0,0,0,1,824,2960
0337CF34FBE67EAA26DF35086BD1378C04039BD8A82082DF1ACD8B1427FB118B,1,1,0,0,0,996,4112
033C615A6F686A856583DBBA3356D56CD5874FD59317808BF9B6623B0CD56B32,1,0,0,0,1,931,2946
03A4B955A0B62C53B2227AA7654268BBEDE9586498AB7239AB31D81CCDDEDEF1,5,0,0,0,5,3972,20140
03B4B16CE34EDFC7EE557D7630DE3F951D08FBD57AE6BECA7D1A77E858B7EE1A,1,0,0,1,0,1457,6360
03BF6830F95C3580DAB4A7E9057AD19B32ED13910A5B70B203C0289849A06F93,1,1,0,0,0,504,1344
03D54E6218C13DC7190668A34C333D736575131FE6B6B8A5146E80CC0A27ADB4,1,0,0,0,1,1539,7434
03E31F26D7D90AD66B193479356AB4D35DDE4F8F92DD5845B52B690A3986DB3B,1,0,1,0,0,2475,11785
03F29DAF62963C31E793DAB9F4D7898181DAE675F000F55FAD692B2642D9E4BD,1,0,1,0,0,712,2920
03F78971ACE5675220E779398DA1A4CC5F0C62B190D1C24DB0D1D03FDCE97B90,1,0,1,0,0,904,3133
041F08DAFAFB69D299742DBB48B2D0653BCEE7F8E570982B9244D7788CEB10AD,4,0,0,0,4,566,1886
045BBDC7A14841E5DDAA1E4942D3F17FE5508CB7C00A05D48CFD40915ACAAFC7,1,1,0,0,0,1237,4341
0469EB51E8157575087EB95744B11B913B5D9042621710E91C0A198A69430240,1,0,0,0,1,1757,7792
0482D0C213C6F1392EDDA038260BCFAF661C9EF1E927B2F80502E4A42E948990,1,0,0,1,0,980,4033
04CD4FE03381728E5E71BB6B3EA9732D3FD7CD5E018F4A5C7F394320AA3B5513,4,0,1,0,3,820,10548
04E871C0CA8FF5851FEE37A591535BFA8189649339E9E1BFCE68AE44A330D0E4,1,1,0,0,0,1225,3812
0551CA5AF36475784B0FDDBB664053FEC8AB1C92B9A98AAF86B6DC6F16210EFC,1,1,0,0,0,535,1691
057485738BD61372B9699B597CB30432ECF5ED306BE4BCB2BAEB8B3B9D0F1775,1,0,0,0,1,1231,5153
05AF0637308DDEBC0A0478D9F1A956522F20F62307F09AF6C3F6FDE0833E3D76,1,0,0,1,0,512,1930
05B910ADA78CDE7EC7AA5F273C91C2851AA2829D3BB28D9290A662A2001038FE,1,1,0,0,0,797,2351
063074AB87309755797E5A445C17954752D4DC277FEE6B18ED9D925DA9A249B6,336,70,134,76,56,492,1252
0636E0C2A7F641A7B9C99A2D1785D40B8B40D8F711BCAB33809C19B2725D41BF,1,0,0,1,0,1757,7792
06475F99CBD6B7BF6F1BB97FDE7B457B672017CE9B98AB7DBCDC2F51C276C62B,1,0,0,0,1,844,3178
0651B73BBBD38665A59AC1698DF369171DC189D7D371035E9DA38D9EEA961396,35,0,2,32,1,791,2427
06A4F78AAF72CAD639986044CD43ADA4B6D101CD9AB1024C2FBEA330EB4AEE1A,1,0,1,0,0,1086,3371
06AC5459354A55BF3DC434222E2FF8CBF83757FE1967D2E496C3D5F3115C2B58,1,0,0,1,0,1649,6578
06B562EFE6F4D5250131BDDC534592D648BE228FA41E47237CE51B72F317FFE2,1,1,0,0,0,1757,7792
06D39C061ACCB416FA8F01029B44548B0740DB5E25B92A458AFE68AD6D4F2AA8,1,0,1,0,0,933,2635
06FE28040F0FF7B1247CCC209AC297B1C6623549E1CC19251ECBE18A54B6A2AB,3,0,0,0,3,489,1519
070D826719B9BD2065F782DE92693FAEB6D69AA7D1F1B5D2DB563C6C6EA441EC,1,0,0,1,0,369,840
071057C3E5F6528587760A9E7D7E6A6173E7E2E35A49B4F523A72A03EF1A76A3,130,69,16,27,18,1594,5961
0714306D4F035D0B3FE710EE97F1818905FDFD2FCB8BD115E72FC4ACE4B69607,1,1,0,0,0,3256,17202
072BA3B627375459B55EFB3ACF9DB88DDA32B9C6CD5446ECC877019D61548A7D,1,0,0,0,1,697,3216
0757E027E03317AB3B8840F185DBE924D2EE8F603737F88FC3B78DB033F50E7C,1,0,0,0,1,931,3354
0797AFFEC7A7B7CAA8C24436366B81E91616A56510EE8938E105A1C4A739B167,1,0,0,0,1,1757,7792
079B72AF2060FF65ED5BE0E3AFD22B6EBAFDE29D8A7ED853629E455BE841174B,1,0,1,0,0,1371,6212
07A1ECADD76FD668D02E1A0965942551CDD40D5623CD1749873A9A05D39B25BB,1,0,1,0,0,325,858
07E3421CF78EAB75615D7B413F3370D56FDD5547BC64AE2CC51065B3A7C1E970,84,0,2,66,16,3714,20638
0815F36B5FF7E2C45A9BC06B3D3405E7C2D43486A9366C23FD2DE2DE54C95E74,1,0,1,0,0,968,4781
084253B7B6F9AEDF83FBB39DE9140353EF2AF2BB9E3DDD7399310424C0CB7D7D,1,0,0,1,0,1757,7792
085027846A3208CAEA765833710EF1AC2BF064607DE06819520157C575D3254F,1,0,1,0,0,453,2210
0874BEEE01B526B49332BD1A253463AA244DF5A5FFC147BA0E1816C55F859DDB,1,0,0,1,0,769,3338
08759D4F31146C75336A4A9FEAFAB23F12C084C40350C1AD702A2B0B2E327C40,1,0,0,1,0,573,1667
08773532E3520672EDF39010A88BBB3F4BF93F180867C8CF8183DC1CDFA9E34F,1,0,0,1,0,922,4532
08991DB2B665BF366E99929DB192ECF683FA2005433DC0F69677A9B36A51EA05,1,0,0,1,0,1371,6212
08A0D68A4742BC2FFA192782B3066EA7A546EA1A7B1EC4399B7EE722E17EBD86,1,0,0,1,0,2489,11658
08CFC78B14874BD201942D0BCE80A884EDB96BB81BD4EAC8ADD8E3D91DA3B6F6,65,4,6,50,5,1405,4220
091EA95239F9C7B9DF5C644E3EF48D9D750395AFAF77A6E1A2A3318567609C50,1,0,0,0,1,327,918
09240551BD4607C87D6016DEB717BD3E908ACDCEF9D600DB112DDB24D6CDE427,1,0,0,0,1,1283,4389
092E6AADCD46C350B9BF7F13975DFCEEC76A89D66D2F15544DC4001E20335F2C,1,0,1,0,0,707,2580
092EB59643160CCBEE23B678D8A2BD8C9C29141B919783589B92D7D2B8DC6454,291,102,49,51,89,1293,4223
0932F8D67F4FBA277AB60272E0D572C499897CC8D4020198E995E3C0CD620213,1,1,0,0,0,520,1733
0938A25B9B00C9C5246A7608C32471877BED2F906DADD6CDBC0BD904DD3CC36F,37,33,3,0,1,4540,18101
0966F23A3CFA94A50764C081BE1EE95F2DE1F90E71CB0DA15641204668B399DD,1,0,0,1,0,1423,6290
097C360EEB19B205E2339CA6F1AEA7E945DDD3D5D326304664BE10201138315C,1,1,0,0,0,1205,3302
09823A0DAB88C579214053E13C1CC6C3CBC2E6BEC610A16CF7A5A54F29441513,1,0,0,0,1,183,301
09D0A151AD88C057ADDAD58550FFC33B55BCD30B5A69DFAD98968885FE94ECBE,211,83,52,43,33,1153,3924
0AB8153932E58B552EE85098A96CABCBB85B63267F554C7D8F81DD7954CA63BD,1,0,0,1,0,433,1200
0ACA8EEDBE8F23A25A2832F89152C7D21AF1545BCF38B72EFD794F681F0E33CC,1,0,1,0,0,1972,8737
0AEAE6B2179D71AAFED395331F4031C8D9DDEE02288E17A57B2AB2A24AFC5021,1,0,0,1,0,1757,7792
0AFF4A2737F1B8D83235D9C1343CDEC73F19F6BD11B239F9B79F08D9979EDBFD,1,0,1,0,0,1512,5536
0B21EFE6D7B34726A328FCD9CF03A41D86F650C7E433F2F8D48A6AD875773C90,1,0,0,1,0,845,2261
0B232EFB2311F7DE31F6C5F22E66387088CB893B446BD17F927D0DCD079E2C5C,226,54,79,41,52,412,1926
0B4490B893AB1CDE809A2F659F121C0D30CFA32EA1F3D64E3328F465AFD7F713,1,0,0,1,0,1227,4316
0B6970403ED517D426394FBCE05882F775C8DF55B04282C77CF8EFA54BC1798A,1,0,1,0,0,745,2580
0B704599E4E2F9BCAC34E086F929A9E100F31A9B65C995B52F4A7CDAE5579C99,1,1,0,0,0,899,3101
0B776E0392BD114EEE7C16E4E244F4A2C5D52C9056222C93E39F53DA0802542E,1,0,0,0,1,1170,5893
0C0ED474266597305DE77BA97742FD2F1100EBF01E3F74F538DC745C75CA3052,1,0,1,0,0,917,3242
0C517F6B1E8503D6E5E7FE5853074C1D29A1C51167391469CE8966222F3F0BFF,1,0,0,0,1,1773,7810
0C54F070D8D96C048DFE6010907F3D5DAD04069EB79F9528070B375DCC474197,1,0,0,0,1,1757,7792
0C592DE9FBCF94B7DC5046EE794F283EBA6497C8733F37687BE8CBAAD3C514C4,1,0,0,0,1,1757,7792
0CC42BB700A751A06B003ACF59A98C258683CA5FD8680D40AF774A90E08BAB3B,1,0,0,0,1,1757,7792
0CC7689CA09204223B9443A502D56E44A3B62530E9338D603D589CEEEA97E11D,1,0,0,0,1,1757,7792
0CCD7CE49BF854DDA25EA3D4AEC3592BE29F81ADEE7A24A89A910247D3AC991F,1,0,0,1,0,733,2454
0D2551B92AAFCFFBCCF3CA1286F5F41BC66D6C6E1AA56EEA0B7EFB38F013C7EF,1,0,0,1,0,819,3266
0DA681C6A49A5B785A93E135D19FB23FC11E8DA13D048F23123AAC100698BEE4,1,0,0,1,0,1757,7792
0DD696CAE9F5FC107BAC087165A9FB11CD30349541C80780294EBCD4AD86E64A,1,0,0,1,0,761,2355
0DF46B9FC3120195BBDB683697610D1B95C0758837F979C9B1E76A6E74D91D06,1,0,0,0,1,979,3309
0E053D49D46D8566575C06F15DA7A33A451AFC2E53DC43CA40FCAAA6F1229220,1,1,0,0,0,1399,5348
0E1D26E0C112417A5B1B1062C4B04FBABA0A300A70E3774D46B5A353AB4F5A67,1,0,0,0,1,729,2715
0E509A26D29430E1C2CB4BF89FFB511623E07236D81CAECFE7834F9E4F946E08,192,45,75,40,32,887,2497
0EE890992FF04D9B0AAF0BD245574B865D76074449C375ADC67EC9750005EB0A,12,0,1,0,11,601,1624
0EF94128C6D8AFFDAE0E007AB14A8536ED89B63471C37592512A344537BA9226,1,0,0,0,1,894,4367
0EFAC49EB4CC7F26246EFE698B069C1B4CC22392AAC00C6A441466C1FDA9B149,1,1,0,0,0,1211,4369
0EFC2D1648650412287D7BBF05E2F897F0F3FC3C35ED8004B19DCC646D26D5BD,1,0,0,1,0,1757,7792
0F7A047F376F8F8F7240FA6330196D217BBAC34DFF5C3FFCC4B3E7A8D1689D43,1,0,1,0,0,583,1959
0FBD58C03DEED9D19125ED94213E97889DD984B3577398110F6D70EE00AC5FCA,7,0,0,6,1,3724,19827
10032DC19F609ED8B7577A5620C87A1BD9605EF0B12654E5983982CD640C0D89,1,0,1,0,0,506,1175
103439C6DE164058F86CB72499B1F96CB79476D8D64F896FFA71BC2CBEA1C8E2,1,1,0,0,0,1757,7792
106B0CA22E12DEEB74FB88378F73A3D3403A8451231924F1593334CE43696DC2,1,1,0,0,0,1757,7792
10733E11046FCA04EF6C0FF5C433F0E1861454167448BA826480F25135A40031,1,1,0,0,0,595,2031
107FF43836156F52CFDCDA781258E017852DCE5B64264D38F92A5B220C2B7F88,1,0,0,1,0,1001,2785
10A612C88FCD6D2790ED85047325209F514C6AAAAB72DBD4A5922B51C1BE4687,1,0,1,0,0,503,1927
10A8A30E1EEF6B0725401BC81DA43B4565C5CE019208DA5325D587A36D5CC033,106,0,64,23,19,1261,6116
10E8587197A34E1D5A9BD1AFCFCD3CDED05B229410964C6E6AC2F4858E302F4A,1,0,0,1,0,1757,7792
1122A4F0071F7521843E1D1B3B647748CE695B102FC1E0F453E4F59B82F91CEA,1,0,0,1,0,1757,7792
1125DA797C35480AEEF2D279C39DBF473C189754610EA0F8EC6D694E6DC0F33D,1,1,0,0,0,858,4116
1146E8CCC7257EF10D14C0565810FAE7F6D2C9BE95E20877F2171094F7934E0B,1,1,0,0,0,2895,14092
1149CB196CF0E0588B4FCE8F2E00A2492A5FCA5A6D2E7D63A1D206D5F6D4DF81,13,0,12,0,1,1096,3257
1191E801AFD8ECC9D28565036DC64962EA2C631F3D1FC5437340620949B6A39C,1,0,0,1,0,1757,7792
11BAC59332225614E5D464F1CED87BB2AE0FE71EB4FD2D4EC734BA51071C85E2,1,0,0,1,0,2468,11562
11C00D246153D3BDEACE1CB4FC6C96FD531D833D7B534D37A3BCEB510D141F4B,1,0,0,1,0,1757,7792
11D914F92CB565C28BAD2F63D9776774DFFA23C14AF70AD77DEA02971F58953B,1,0,1,0,0,1371,4965
1237FEBE3D00AB2F73AE440450CF20477FBDF529A0452AA022FEAF554C09DAB9,1,0,0,1,0,3203,14812
127E98C961AE8EC70E060D39E543A14848640F87395A97EEE420603F43253B21,52,0,2,49,1,2457,11507
1367FDDAC735D0EC46C9E5528908B04ED899804D3044B0F3789D7C69AB5F7939,2,0,0,0,2,1180,3678
138043DF6184026DDFCF4BBFFCF730FBAB1FA535F67AB47923A0D630F3E25D4D,46,0,0,46,0,1030,3365
13B506EC67A6920465F88F446EC5EC3C7ACCAA0783EB263CE51F90651325F837,1,0,0,1,0,2626,11656
141816677CE6D6620C0B76861673F0DD1CCB14D18D91A01DDE0D5BAD17072C4C,35,0,1,0,34,723,3227
14B5232E97959AB69199272C87D70F392F39935D19276BEBA9AB976D1E50FAFB,1,0,0,1,0,1861,7899
1515982D18FB69B086F038C1E320626E075CC3C303F0C21C94E9766FCB59AC09,1,1,0,0,0,846,2360
15332577806A988740428D43787754160C83488E55422F2E0DDA054C39A042E4,1,0,0,1,0,917,3242
1556DF7FF79756F9743A5599C51E451C42ACD1D1CDA89BEBEE33E782BC598C92,18,15,0,2,1,375,1265
15DB53D6CC0EEC1A456A43D8B873C83BA69E83D876A90BE07A64BDEE9945FD12,1,1,0,0,0,969,3632
161E314A9683EA4356678117D006913285A9283F4F0B974CFCEDCC09838DAA1D,1,0,1,0,0,1757,7792
161FFAE9FA90836300DB68345AD8FB9CB577736E46999A51DAF5FD83789F147D,1,0,0,0,1,1773,7810
1631D5E54547BA3B709B957E21E6139052C65C047B52BD2FE4E24DB2A4414A66,1,0,0,0,1,2476,11810
16353E1EDDDDBE70B80A2EE9D02480AC291D841788D20B0441BA1F8AD14A4FC5,1,0,0,1,0,2292,8335
16A987CC05CE83641C087FD540A06AA72921207FB8DA22F2E00C20D7F0CF9864,1,0,1,0,0,865,2812
16EC3052996E1C3C9FA434DE50EA95CACF078756F0D2E8CE1510F48FC92C6D19,1,1,0,0,0,850,3035
1720D9A10A0ECDD5B9459350B46F078C023140296BDE4F6F7BE6A5FD158093A1,1,0,0,1,0,1757,7792
17324DA99A381B6070B64BE1F3364FF7C6CEAA8EA693CE4AB18FC12310352497,1,0,0,0,1,597,1342
173455BF5C52FEEF5BF9FBA8B2708EAE3D97EDDCDF471C2A3480CDE199E63A1F,9,0,7,0,2,496,2714
1765958F502BC395F73C7125D388D7AFB25E272D823B1EDBFFE40E5832797462,1,0,0,0,1,651,1966
176B7461C20D89273DD59C28C02C3F6184500A19F685ACF781CC0994123F7D2E,1,1,0,0,0,489,1679
17B815C2834B269842B5413422FBAFDCDCBB5743708066E471E70B44F7B449ED,1,0,0,0,1,729,2713
17DE25621BB84CE4D53A00AA003D0161883F7742D92237413EC165B27AE2E987,1,0,1,0,0,922,4518
18021E069E5A8275337086E8C428F055978868412D96F7B75833294AAB8DBF7F,1,0,1,0,0,212,464
18FE62CC9E1F74D541884755A0A6F493FC91FCD457BBCEE59C7E16A5458BBD55,75,11,54,3,7,570,1464
190F80E88CF55B21DE68C3E6434C251503975A8A292AD3A799491130AD076172,297,123,49,70,55,486,1510
193CCE41270EB71AB117CE4064EC8ABF69B0EC849840F7C929D97322240E5C8B,54,4,0,49,1,828,3265
194A366FEDC12698B8CB3975491D00D84A4AC27E5C3521A5BC48B93065388C53,1,1,0,0,0,2532,9489
1968E8AC04E65E6C200EDA249B5B92F836DDBCAF5ABCFFFED1C2E04B471E6895,1,0,1,0,0,1053,3475
19A66537510A1D772AEABEBE47427D84F8657F21C59DE098F66A5F1AE0041439,1,1,0,0,0,1760,6996
19C14D68FF6490AEC8AFBFA9E132A7862C0393CDE37652B4D9F0B26BB13844EF,1,1,0,0,0,2125,7234
1A034BC86DFE0C52F668CA7405CD98EAF0F558E374E8A92E8203C5374C4D869D,16,0,0,16,0,1068,2832
1A22E37C470583965185CC742A95582239DA5E27153EEE38452756ECD0E9614D,1,0,1,0,0,1158,5181
1A69BCCAF5567984F436529A5A3A576336D63F0C2149A5111D23A767DF9D6F32,1,0,0,1,0,213,461
1A9E38BFD572C55DC28EDB95432EB80B63BC18D18302098C1E6101AF800FBA0F,1,0,1,0,0,541,1243
1B07DE0AFEE0951A5B05718AE7453D9513A5F111C90564B2C4A1476BC191AE45,1,0,1,0,0,1576,7082
1B3581C453AAB20D751EE8257F7F55AB0AFBA03B7F458D06E8D9DA83BC717C69,1,0,0,1,0,1048,4408
1B7BA4CDF9AC35BDBBF2EC45F9454ECE5252DAB9C4B6EE02085A7C78AAFA1899,1,1,0,0,0,747,2350
1C2ABBA3E925755B621508FC082A6EC31469DAB7BE4DFC2BD7C909DA962647D3,1,0,0,0,1,716,2128
1C3B07125748256705E75892B7611A90F70187025B40F89B6AA7DFC054D083D5,1,0,0,0,1,802,3327
1C8107D82833C2F21B4AD11C12B6285C4D4C2A033D578017D1603FFB801AD6E6,296,75,60,113,48,896,2521
1C9BDBD26F76A752ADE741C77A74A8255C4AB9C5974856AF27BEF98F644B25EA,1,1,0,0,0,1426,6052
1CB3F1A8FEA0338B22167BC9BB530B2271B138EEAF4CA0D1E95B5F78096A7817,311,84,70,92,65,1197,3668
1CE4BD7C5E9633E073007CE4CB244F68140861F4B6318F1BF2FD05F8D00D1CEE,12,0,1,10,1,433,1235
1CFAF3F1F985D5D188C491D2E70CE72D95042B5B86B50F589EB5E0FA637221EC,12,0,0,12,0,489,1519
1CFE6C122F4DCA30BAB1796D15C5C14E9FC6C18102246DE1500D5602DFC3B977,1,0,0,0,1,1773,7810
1D3F519574F8644F2D79F26417822636EFDC7F50D6AA136F51FFDC59925F3B26,1,0,0,1,0,3372,18079
1D5DDBC2A8B0145141C7C80826741B35CA963F05E52CBC09EA3A057254581AB0,1,0,1,0,0,903,3127
1D6C8AA33F7463A69B3D571E58E224560C7103259B972500DBD8A45C05BBCCD5,1,0,0,1,0,1202,6077
1DA4D69FD2AB764B74837E8B57F044C9BD920306A65EA069CAF92DA455F93E0D,1,1,0,0,0,482,1483
1DF910F43B4D730E361A4B5147BFF6E04EBB39B27859040FAABF35EFAE385380,1,0,0,0,1,516,2231
1E06FD3B157645291CA49E4D23A31360A113EAC33DF97C65C3C34EA0CD9A25AF,5,0,1,3,1,1425,3925
1E12ED5CDB5A0D10AD54477AB57CFEB6A7E86AA853AE723FA3E0D1B04A3C79E0,1,0,0,1,0,799,3020
1E1D19562E52B26BCCC0A842C553DE0648DF4BD48486FD4E40FC13CB156E877A,1,1,0,0,0,1637,5270
1E323A0CFFF45643DCD5422FEF5E4178F92DAFA1710ECD9F0F0704ECF7842DDA,1,0,1,0,0,717,2788
1E341639E3C17477C5E12EEA342DE30CAE7893BC27B576EE13A0FC0D0406B395,1,0,1,0,0,936,3384
1E37E8686FDB486761B70C38783F28EAE91E5A630B3B29C50AF90F85DFEAE029,1,0,0,0,1,1191,4999
1E3C80FA4B9BEDB25E290B8F6EEC848CB84B8E7281CB33B5B45234987899237D,1,0,1,0,0,4337,21815
1E40FDE17F3047685664336C232582BBA935E36497481B2099ACC1409601C2DC,72,1,8,58,5,1161,2950
1E689C4282E5EFDDB9D834A33C7446D8195B5CE841F20E7C04908AF24ED919AE,1,0,0,1,0,1319,4826
1E789ABF1A43E4A73A02FA7FE469CB0285DBC5C1FCD552B7C281C3E70DCB044F,1,0,1,0,0,966,4878
1E89E4054A52C4D38CC7D40C7955D6CA87E3A6404C4BD561847CC9D061D752F7,62,9,1,48,4,1749,6122
1E8A9143F243A2DC238344069A50F1FE44648C0C6A9746F7F54D785D0BAB2F24,1,0,0,0,1,806,2171
1EB5A1283C4E2804F4CC92035A5E1F085CA33AE6BA440C94F728D80F32B6373C,31,0,0,2,29,395,1061
1ECDD4DBD954A0A0DEA7E797E0C77E2D2E6C765F89263AC63A2C442F47C254B5,1,1,0,0,0,729,2713
1F06E6AF85AC0403D5D9AD4913A220119314C9BC53E497F7885C3CD131C454CB,1,0,0,0,1,1231,3980
1F1553D4F9E3EDEC53AD8122F40FF3E6B4AE4C624049E22EE885E7CE576BCC1F,1,0,1,0,0,1757,7792
